Area	Number	Designation	Latitude	Longitude	Height (ft)	Elevation (ft)	Lighting	Type of obstacle				
55N 13E	10328	BOARP	554921N	0134636E	453	971	FLG R	Wind turbine				
55N 13E	10329	BOARP	554911N	0134612E	453	978	FLG R	Wind turbine				
55N 13E	10330	BOARP	554905N	0134639E	453	974	FLG R	Wind turbine				
55N 13E	10331	SVALÖV	555722N	0130253E	410	656	FLG R	Wind turbine				
55N 13E	10332	SVALÖV	555710N	0130302E	410	653	FLG R	Wind turbine				
55N 13E	10333	SVALÖV	555658N	0130311E	410	653	FLG R	Wind turbine				
55N 13E	10338	RÅBY	554930N	0133921E	390	784	FLG R	Wind turbine				
55N 13E	10423	KÄVLINGE	554940N	0130744E	410	515	FLG R	Wind turbine				
55N 13E	10424	KÄVLINGE	554934N	0130804E	410	515	FLG R	Wind turbine				
55N 13E	10425	KÄVLINGE	554928N	0130824E	410	518	FLG R	Wind turbine				
55N 13E	10506	KLÅGERUP	553648N	0131602E	417	469	FLG R	Wind turbine				
55N 13E	10507	KLÅGERUP	553638N	0131614E	417	456	FLG R	Wind turbine				
55N 13E	10508	KLÅGERUP	553628N	0131625E	417	453	FLG R	Wind turbine				
55N 13E	10509	RAMSÅSA	553428N	0135334E	328	541	FLG R	Wind turbine				
55N 13E	10510	KLÅGERUP	553644N	0131429E	390	427	FLG R	Wind turbine				
55N 13E	10586	SKABERSJÖ	553217N	0131110E	410	564	FLG R	Wind turbine				
55N 13E	10587	SKABERSJÖ	553223N	0131132E	410	554	FLG R	Wind turbine				
55N 13E	10588	SKABERSJÖ	553231N	0131056E	410	558	FLG R	Wind turbine				
55N 13E	10589	SKABERSJÖ	553124N	0130919E	410	561	FLG R	Wind turbine				
55N 13E	10590	SKABERSJÖ	553113N	0130926E	410	531	FLG R	Wind turbine				
55N 13E	10684	VINNINGE	553643N	0131450E	390	413	FLG R	Wind turbine				
55N 13E	10685	VINNINGE	553642N	0131510E	390	436	FLG R	Wind turbine				
55N 13E	10698	ST BEDDINGE	552334N	0132609E	410	482	FLG R	Wind turbine				
55N 13E	10778	ST HERRESTAD	552900N	0135035E	328	476	FLG R	Wind turbine				
55N 13E	10779	ST HERRESTAD	552904N	0135052E	328	489	FLG R	Wind turbine				
55N 13E	10780	ST HERRESTAD	552900N	0135109E	328	486	FLG R	Wind turbine				
